sub_id;date/time;user_id;user_rating;fire_verified;smoke_verified;lat;lon;text_district;text_loc;text_keywords
0;09/05/2023 08:30;1;18;1;0;40.219;-8.481;Coimbra;Figueira da Foz;Fumo-Gasolina
1;09/05/2023 09:00;2;16;1;1;40.209;-8.460;;;
2;09/05/2023 09:30;3;19;0;0;40.225;-8.450;;;
3;09/05/2023 10:00;1;18;1;0;40.242;-8.474;Coimbra;Coimbra;Casas
4;09/05/2023 10:30;4;15;1;1;40.212;-8.441;;;
5;09/05/2023 11:00;5;20;0;1;40.231;-8.478;;;
6;09/05/2023 11:30;2;16;0;0;40.200;-8.454;Coimbra;;
7;09/05/2023 12:00;6;19;1;1;40.197;-8.467;;;
8;09/05/2023 12:30;7;17;0;0;40.232;-8.471;;;Casas
9;09/05/2023 13:00;8;18;0;0;40.220;-8.460;Coimbra;Coimbra;Gasolina
10;09/05/2023 13:30;9;20;1;1;40.205;-8.463;;;Casas
11;09/05/2023 14:00;10;8;0;0;40.219;-8.484;Leiria;;
12;09/05/2023 14:30;11;17;1;0;40.230;-8.469;;;Fumo
13;09/05/2023 15:00;12;19;0;0;40.235;-8.451;;;
14;09/05/2023 15:30;13;16;0;1;40.205;-8.486;;;
15;09/05/2023 16:00;14;20;1;1;40.237;-8.444;Coimbra;;
16;09/05/2023 16:30;15;18;0;0;40.214;-8.462;;;
17;09/05/2023 17:00;2;16;1;1;40.201;-8.476;;;
18;09/05/2023 17:30;16;19;1;0;40.226;-8.482;;;
19;09/05/2023 18:00;17;17;0;1;40.218;-8.458;Coimbra;;Gasolina-Explosivo
20;09/05/2023 18:30;18;20;1;0;40.229;-8.470;;;Fumo
21;09/05/2023 19:00;1;18;0;0;40.207;-8.456;;;Casas
22;09/05/2023 19:30;19;15;1;1;40.198;-8.467;;Coimbra;
23;09/05/2023 20:00;20;19;0;0;40.222;-8.490;;;
24;09/05/2023 20:30;21;16;1;0;40.208;-8.479;Coimbra;;
25;09/06/2023 10:00;22;17;0;1;40.184;-8.512;;Coimbra;Fumo-Casas
