sub_id;date/time;user_id;user_rating;fire_verified;smoke_verified;lat;lon;text_district;text_loc;text_keywords
0;01/06/2017 21:57;0;4;0;0;38.0360599;-7.6045022;beja;serpa;incendio
1;01/06/2017 21:28;0;4;0;0;38.45181115;-7.478369503126434;evora;;incendio-fogo
2;01/06/2017 20:42;2;20;0;1;41.29870675;-8.000597903610371;porto;amarante;incendio
3;01/06/2017 19:05;3;4;0;0;38.78916285;-9.12228232981158;lisboa;loures;incendio
4;01/06/2017 19:45;4;0;0;0;41.5362124;-6.9560267;;braganca;incendio
5;01/06/2017 19:28;5;2;0;1;39.4652053;-8.466436276630382;santarem;entroncamento;incendio
6;01/06/2017 18:29;6;8;0;0;41.1830197;-7.062466693362778;;braganca;incendio
7;01/06/2017 17:16;7;17;0;1;41.7030034;-8.6674105;;;incendio-propagacao
8;01/06/2017 17:23;8;3;0;0;38.75823225;-9.266679900628509;lisboa;sintra;incendio
9;01/06/2017 17:43;9;12;0;0;37.9266609;-7.4099588;beja;serpa;incendio-populacao
10;01/06/2017 16:52;10;2;0;0;41.3164414;-8.4320306;porto;;incendio
11;01/06/2017 16:09;11;2;0;1;37.89032505;-8.196352126164136;beja;aljustrel;incendio
12;01/06/2017 16:06;12;15;0;1;38.72240025;-9.396909171649876;lisboa;cascais;incendio
13;01/06/2017 15:21;13;4;0;0;41.5136392;-7.9878132;braga;;incendio
14;01/06/2017 15:23;11;2;0;1;39.4806183;-8.68234988089188;santarem;alcanena;incendio
15;01/06/2017 13:17;15;14;0;0;39.44956775;-7.913052599788992;portalegre;gaviao;incendio-propagacao
16;01/06/2017 13:02;16;5;0;1;38.8005207;-9.2307698;lisboa;sintra;incendio
17;01/06/2017 13:40;17;6;0;0;39.0531482;-7.4389355;portalegre;monforte;incendio
18;01/06/2017 12:16;18;4;0;0;37.5976;-8.6422;beja;odemira;incendio
19;01/06/2017 12:03;11;2;0;0;38.0585086;-8.1138197;;;incendio-combustivel
20;01/06/2017 12:19;20;5;0;1;39.7564386;-7.62389134176353;;;incendio
21;01/06/2017 11:00;21;3;0;1;38.0585086;-8.1138197;;;incendio
22;01/06/2017 11:52;22;3;0;1;39.7437902;-8.8071119;guarda leiria;ansiao;incendio-chamas
23;01/06/2017 11:20;23;14;0;0;38.80670295;-9.094753249434362;lisboa;loures;incendio
24;01/06/2017 07:21;24;7;0;1;38.6285507;-9.1974387;setubal;almada;incendio
25;01/06/2017 00:21;25;14;0;1;39.69919745;-8.964786222111005;leiria;alcobaca;incendio
26;03/06/2017 23:18;26;11;0;0;39.0230782;-8.9768885;lisboa;alenquer;incendio
27;03/06/2017 23:32;27;0;0;1;38.6285507;-9.1974387;setubal;almada;incendio
28;03/06/2017 22:06;28;12;0;0;41.0994524;-8.4999065;porto;gondomar;incendio
29;03/06/2017 22:03;15;14;0;0;37.89032505;-8.196352126164136;beja;aljustrel;incendio
30;03/06/2017 21:20;30;6;0;0;40.5442612;-8.658884;aveiro;vagos;incendio
31;03/06/2017 21:54;31;8;0;0;41.11258985;-8.522397410112376;porto;gondomar;incendio
32;03/06/2017 20:01;32;10;0;0;38.6671253;-9.0542164;setubal;barreiro;incendio
33;03/06/2017 20:37;33;7;0;1;40.1649599;-8.8751034;coimbra;;incendio
34;03/06/2017 19:46;34;11;0;1;41.1494512;-8.6107884;porto;lousada;incendio
35;03/06/2017 18:22;35;9;0;0;39.4582764;-8.4309231;santarem;;incendio
36;03/06/2017 18:20;36;11;0;0;41.05879005;-8.590010656971135;porto;;incendio
37;03/06/2017 18:08;9;12;0;0;39.2363637;-8.6867081;santarem;coruche;incendio-chamas
38;03/06/2017 18:57;38;9;0;1;39.5800661;-8.3844991;santarem;tomar;incendio
39;03/06/2017 18:13;39;14;0;0;39.45624495;-9.180932897705262;leiria;;incendio
40;03/06/2017 17:19;40;18;0;0;38.7905853;-9.1656584;lisboa;odivelas;incendio
41;03/06/2017 16:15;41;19;0;1;40.4851695;-6.9785583;guarda;sabugal;incendio
42;03/06/2017 16:08;42;10;0;0;40.6106763;-8.5362531;aveiro;;incendio-explosivo
43;03/06/2017 16:12;43;12;0;1;40.5882178;-8.027917;viseu;tondela;incendio-fumo
44;03/06/2017 16:21;44;9;0;1;40.4284618;-8.7372138;coimbra;mira;incendio
45;03/06/2017 16:12;45;17;0;0;40.897404;-8.490683816868543;aveiro;;incendio
46;03/06/2017 15:56;46;17;0;1;41.2202567;-8.4112601;porto;paredes;incendio-quimico
47;03/06/2017 15:15;47;5;0;0;38.9250199;-9.0665105;lisboa;;incendio
48;03/06/2017 15:36;48;17;0;1;40.640496;-8.6537841;aveiro;;incendio
49;03/06/2017 15:16;49;14;0;0;38.8931656;-7.5493683;evora;estremoz;incendio-gas
50;03/06/2017 14:25;7;17;0;1;39.495999350000005;-8.847903068306833;leiria porto;;incendio-urbana
51;03/06/2017 14:58;2;20;0;0;39.7437902;-8.8071119;guarda leiria;ansiao;incendio
52;03/06/2017 14:46;5;2;0;1;41.2999527;-8.4792107;porto;;incendio-explosivo
53;03/06/2017 14:54;22;3;0;0;39.0689884;-8.8684921;lisboa;azambuja;incendio
54;03/06/2017 14:19;54;9;0;0;37.21441225;-8.086534227529107;faro;loule;incendio
55;03/06/2017 14:09;55;6;0;0;38.5241783;-8.8932341;setubal;montijo;incendio
56;03/06/2017 14:15;17;6;0;1;38.8308741;-9.1684512;lisboa;loures;incendio
57;03/06/2017 14:30;57;18;0;1;41.1927312;-8.388552;porto;paredes;incendio
